model,arch,matrix,shape,n_bits,cosine,mse
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.dt_proj.weight,"(2048, 64)",8,0.9997100494637432,2.5704605e-06
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.dt_proj.weight,"(2048, 64)",6,0.9952966860060822,4.3695054e-05
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.dt_proj.weight,"(2048, 64)",5,0.9807863509978001,0.00019260755
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.dt_proj.weight,"(2048, 64)",4,0.9186191534398798,0.0008631546
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.dt_proj.weight,"(2048, 64)",3,0.7024323041667148,0.0027878685
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.dt_proj.weight,"(2048, 64)",2,0.18803176755116027,0.004860117
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.out_proj.weight,"(1024, 2048)",8,0.9986010939881971,0.00042864837
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.out_proj.weight,"(1024, 2048)",6,0.9774520737092351,0.0071773054
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.out_proj.weight,"(1024, 2048)",5,0.9128450967537132,0.030717343
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.out_proj.weight,"(1024, 2048)",4,0.6669749139623082,0.10228939
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.out_proj.weight,"(1024, 2048)",3,0.21337231179517688,0.14886126
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.out_proj.weight,"(1024, 2048)",2,0.06699504654946488,0.15264355
state-spaces/mamba-370m-hf,state-space,backbone.layers.1.mixer.A_log,"(2048, 16)",8,0.9999669681091596,0.00011807509
state-spaces/mamba-370m-hf,state-space,backbone.layers.1.mixer.A_log,"(2048, 16)",6,0.9994240302123897,0.0021607513
state-spaces/mamba-370m-hf,state-space,backbone.layers.1.mixer.A_log,"(2048, 16)",5,0.9976236200543634,0.008676453
state-spaces/mamba-370m-hf,state-space,backbone.layers.1.mixer.A_log,"(2048, 16)",4,0.985761252779988,0.04304625
state-spaces/mamba-370m-hf,state-space,backbone.layers.1.mixer.A_log,"(2048, 16)",3,0.9663208493921129,0.20807213
state-spaces/mamba-370m-hf,state-space,backbone.layers.1.mixer.A_log,"(2048, 16)",2,0.30504668708591826,1.7996008
